Resraurant_id,meals,rest_adress,rest_coord,rub_max,rub_min
id_5569,"['Lunch', 'Dinner', 'Brunch', 'Breakfast', 'Late Night']","17 boulevard Saint Jacques Paris Marriott Rive Gauche Hotel & Conference Center, 75014 Paris France","['48.8316299', '2.3397946']",3515.0,1318.0
id_1535,no_info,"39 Aarstavaegen, Stockholm 120 52 Sweden","['59.2960467', '18.0529969']",no_info,no_info
id_352,"['Lunch', 'Dinner', 'Late Night', 'Drinks']","30 North Audley Street Mayfair, London W1K 6ZF England","['51.5127973', '-0.1536371']",11284.0,3385.0
id_3456,no_info,"Berliner Str. 54, 13189 Berlin Germany","['52.5577069', '13.4137119']",no_info,no_info
id_615,"['Dinner', 'Lunch']","Zielstattstr. 6, 81379 Munich, Bavaria Germany","['48.1039891', '11.5344284']",no_info,no_info
id_1418,"['Breakfast', 'Lunch', 'Dinner', 'Drinks']","Rua do Choupelo, 88 The Yeatman, Santa Marinha, Cais de Gaia, Porto 4400-088 Portugal","['41.133346', '-8.613011']",no_info,no_info
id_1720,"['Lunch', 'Dinner']","Via Casella Gianbattista 10, 20100 Milan Italy","['45.49584', '9.14616']",no_info,no_info
id_825,"['Lunch', 'Dinner']","Obchodna 42, Bratislava 811 06 Slovakia","['48.1477079', '17.1109984']",no_info,no_info
id_2690,no_info,"Johannesgasse 4 im Hof, Vienna 1010 Austria","['48.2049288', '16.3719383']",no_info,no_info
id_4209,"['Lunch', 'Brunch']","Piazza Colonna, 358, Rome Italy","['41.9006215', '12.4800343']",no_info,no_info
id_6578,no_info,"Calle Del Comte D'Urgell, 198, 08036 Barcelona Spain","['41.3881071', '2.1510292']",no_info,no_info
id_5312,"['Lunch', 'Dinner']","12 Hertsmere Road, London E14 4AE England","['51.5077623', '-0.0235315']",no_info,no_info
id_4066,no_info,"249 Kings Road Chelsea, London SW3 5EL England","['51.4861217', '-0.1718415']",2565.0,2052.0
id_4637,"['Breakfast', 'Lunch', 'Dinner']","Wühlischstraße 1, 10245 Berlin Germany","['52.5073642', '13.4674563']",1054.0,264.0
id_4773,"['Lunch', 'Dinner']","Calle Bordadores 2 Bordadores Street, 28013 Madrid Spain","['40.4164238', '-3.7076619']",4393.0,879.0
id_1401,"['Breakfast', 'Brunch', 'Lunch', 'Dinner']","6 Marino Mart DUBLIN3, Dublin Ireland","['53.3640658', '-6.2328068']",no_info,no_info
id_5257,no_info,"Conrad-Blenkle-Str. 36, 10407 Berlin Germany","['52.5328426', '13.4453909']",no_info,no_info
id_11121,no_info,"46 Commercial Street, London E1 6LT England","['51.517188', '-0.0732116']",2565.0,513.0
id_3127,no_info,"Albrechtstrasse 8, 10117 Berlin Germany","['52.522044', '13.384416']",2636.0,879.0
id_2791,['Dinner'],"Rue de la Venerie 6, Watermael-Boitsfort, Brussels 1170 Belgium","['50.7977789', '4.4191094']",no_info,no_info
id_368,['BreakfastBrunchLunchDinner Breakfast  Brunch  Lunch  Dinner '],no_info,"['70.0732779', '24.26608125']",no_info,no_info
id_5844,['BreakfastBrunchLunchDinner Breakfast  Brunch  Lunch  Dinner '],no_info,"['70.0732779', '24.26608125']",no_info,no_info
id_13016,"['Lunch', 'Dinner']","89 Ridgway Wimbledon, London SW19 4SU England","['51.4208061', '-0.2205944']",no_info,no_info
